T,current_km,best_km
147.258833487,-8525349.91672,-8526164.05234
147.111648221,-8526176.05918,-8526365.28558
146.964610068,-8528239.71322,-8528329.5635
146.817718879,-8529747.8819,-8529765.94088
146.670974508,-8530274.7012,-8530753.95595
146.524376808,-8530635.59069,-8530818.6477
146.377925632,-8531393.58587,-8532199.84957
146.231620834,-8531498.85918,-8532199.84957
146.085462268,-8533283.42434,-8533305.28338
145.939449788,-8543639.47554,-8543993.92909
145.793583247,-8544199.73576,-8544258.96865
145.6478625,-8545768.32598,-8546456.20977
145.502287401,-8547829.24815,-8548318.0046
145.356857804,-8547942.56481,-8548318.0046
145.211573564,-8548579.67003,-8549247.47965
145.066434536,-8547816.21468,-8549247.47965
144.921440574,-8548461.41618,-8549456.06249
144.776591534,-8547167.96576,-8549456.06249
144.631887271,-8548558.22795,-8549456.06249
144.487327639,-8551296.40856,-8551357.13421
144.342912495,-8551160.03245,-8551459.4354
144.198641694,-8551843.44871,-8551843.44871
144.054515091,-8556599.30751,-8557350.10172
143.910532544,-8556856.83889,-8557493.2601
143.766693906,-8554907.74248,-8558070.57016
143.622999036,-8555434.87491,-8558070.57016
143.479447789,-8555097.62953,-8558070.57016
143.336040021,-8554085.88603,-8558070.57016
143.192775589,-8556242.67548,-8558070.57016
143.04965435,-8556840.45073,-8558070.57016
142.906676161,-8554266.70161,-8558070.57016
142.763840879,-8551973.85606,-8558070.57016
142.621148361,-8553525.86138,-8558070.57016
142.478598463,-8556063.20558,-8558070.57016
142.336191045,-8555074.90178,-8558070.57016
142.193925963,-8557952.78827,-8558070.57016
142.051803075,-8559595.02552,-8559595.02552
141.909822238,-8562845.976,-8562979.86019
141.767983312,-8562644.64812,-8563600.63688
141.626286154,-8563194.012,-8564146.77765
141.484730622,-8562778.60296,-8564146.77765
141.343316574,-8566473.67711,-8567524.98462
141.202043871,-8568438.08219,-8568460.73609
141.060912369,-8570751.70192,-8570942.83234
140.919921928,-8568216.07689,-8570942.83234
140.779072408,-8567937.40136,-8570942.83234
140.638363666,-8570580.34908,-8570942.83234
140.497795563,-8570223.21919,-8571657.95741
140.357367958,-8572029.61495,-8572371.05605
140.21708071,-8571559.63497,-8572371.05605
140.07693368,-8571747.85925,-8572909.98209
139.936926726,-8577648.76013,-8577795.27692
139.79705971,-8575110.04841,-8577795.27692
139.65733249,-8577653.18582,-8577828.63591
139.517744928,-8580385.73019,-8580385.73019
139.378296884,-8579175.3766,-8580385.73019
139.238988219,-8578522.86054,-8580385.73019
139.099818792,-8581782.41698,-8581782.41698
138.960788465,-8582347.89416,-8582721.06689
138.821897099,-8584402.57044,-8585564.82552
138.683144555,-8584450.16828,-8585864.8859
138.544530695,-8586826.97864,-8586826.97864
138.406055378,-8587436.52797,-8587762.30009
138.267718468,-8587609.54956,-8587851.45858
138.129519826,-8587179.44658,-8588573.47647
137.991459314,-8586212.0392,-8588573.47647
137.853536793,-8587555.17054,-8588573.47647
137.715752125,-8587437.58093,-8588573.47647
137.578105174,-8587798.4174,-8588573.47647
137.4405958,-8588313.31052,-8588746.62706
137.303223868,-8591159.45386,-8591281.43341
137.165989238,-8590474.65277,-8592173.66839
137.028891775,-8591211.4777,-8592173.66839
136.89193134,-8591367.21061,-8592173.66839
136.755107798,-8591698.6453,-8592173.66839
136.618421011,-8591363.21944,-8592173.66839
136.481870842,-8591729.71099,-8592173.66839
136.345457156,-8590138.49464,-8592173.66839
136.209179814,-8589914.41414,-8592173.66839
136.073038682,-8593380.9446,-8593380.9446
135.937033624,-8595638.95605,-8595732.13239
